performance_id,campaign_id,date_id,impressions,clicks,conversions,spend,ctr,cpc,cpm,created_at,revenue,roas,cvr,creative_id,audience_id
1,35,1,2,0,0,0.16,0.0,,80.0,2026-05-24 18:26:42,0,0.0,,3,4
2,88,2,2,0,0,0.16,0.0,,80.0,2026-05-24 18:26:42,0,0.0,,2,1
3,141,3,2,0,0,0.16,0.0,,80.0,2026-05-24 18:26:42,0,0.0,,1,2
4,35,4,145,0,0,0.21,0.0,,1.45,2026-05-24 18:26:42,0,0.0,,3,4
5,88,5,145,0,0,0.21,0.0,,1.45,2026-05-24 18:26:42,0,0.0,,2,1
6,141,6,145,0,0,0.21,0.0,,1.45,2026-05-24 18:26:42,0,0.0,,1,2
7,13,7,2,0,0,-0.57,0.0,,-285.0,2026-05-24 18:26:42,0,0.0,,2,2
8,66,8,2,0,0,-0.57,0.0,,-285.0,2026-05-24 18:26:42,0,0.0,,1,3
9,119,9,2,0,0,-0.57,0.0,,-285.0,2026-05-24 18:26:42,0,0.0,,3,4
10,35,10,20,4,0,-4.49,20.0,-1.12,-224.5,2026-05-24 18:26:42,0,0.0,0.0,3,4
11,88,11,20,4,0,-4.49,20.0,-1.12,-224.5,2026-05-24 18:26:42,0,0.0,0.0,2,1
12,141,12,20,4,0,-4.49,20.0,-1.12,-224.5,2026-05-24 18:26:42,0,0.0,0.0,1,2
13,35,13,39,3,0,11.59,7.69,3.86,297.18,2026-05-24 18:26:42,0,0.0,0.0,3,4
14,88,14,39,3,0,11.59,7.69,3.86,297.18,2026-05-24 18:26:42,0,0.0,0.0,2,1
15,141,15,39,3,0,11.59,7.69,3.86,297.18,2026-05-24 18:26:42,0,0.0,0.0,1,2
16,13,16,44,-100,0,11.91,-227.27,-0.12,270.68,2026-05-24 18:26:42,0,0.0,0.0,2,2
17,66,17,44,-100,0,11.91,-227.27,-0.12,270.68,2026-05-24 18:26:42,0,0.0,0.0,1,3
18,119,18,44,-100,0,11.91,-227.27,-0.12,270.68,2026-05-24 18:26:42,0,0.0,0.0,3,4
19,51,19,44,10,0,12.14,22.73,1.21,275.91,2026-05-24 18:26:42,0,0.0,0.0,1,4
20,104,20,44,10,0,12.14,22.73,1.21,275.91,2026-05-24 18:26:42,0,0.0,0.0,3,1
21,157,21,44,10,0,12.14,22.73,1.21,275.91,2026-05-24 18:26:42,0,0.0,0.0,2,2
22,35,22,52,1,0,-13.17,1.92,-13.17,-253.27,2026-05-24 18:26:42,0,0.0,0.0,3,4
23,88,23,52,1,0,-13.17,1.92,-13.17,-253.27,2026-05-24 18:26:42,0,0.0,0.0,2,1
24,141,24,52,1,0,-13.17,1.92,-13.17,-253.27,2026-05-24 18:26:42,0,0.0,0.0,1,2
25,35,25,69,8,0,19.35,11.59,2.42,280.43,2026-05-24 18:26:42,0,0.0,0.0,3,4
26,88,26,69,8,0,19.35,11.59,2.42,280.43,2026-05-24 18:26:42,0,0.0,0.0,2,1
27,141,27,69,8,0,19.35,11.59,2.42,280.43,2026-05-24 18:26:42,0,0.0,0.0,1,2
28,35,28,95,9,0,19.63,9.47,2.18,206.63,2026-05-24 18:26:42,0,0.0,0.0,3,4
29,88,29,95,9,0,19.63,9.47,2.18,206.63,2026-05-24 18:26:42,0,0.0,0.0,2,1
30,141,30,95,9,0,19.63,9.47,2.18,206.63,2026-05-24 18:26:42,0,0.0,0.0,1,2
31,35,31,80,12,0,23.85,15.0,1.99,298.13,2026-05-24 18:26:42,0,0.0,0.0,3,4
32,88,32,80,12,0,23.85,15.0,1.99,298.13,2026-05-24 18:26:42,0,0.0,0.0,2,1
33,141,33,80,12,0,23.85,15.0,1.99,298.13,2026-05-24 18:26:42,0,0.0,0.0,1,2
34,35,34,119,3,0,24.22,2.52,8.07,203.53,2026-05-24 18:26:42,0,0.0,0.0,3,4
35,88,35,119,3,0,24.22,2.52,8.07,203.53,2026-05-24 18:26:42,0,0.0,0.0,2,1
36,141,36,119,3,0,24.22,2.52,8.07,203.53,2026-05-24 18:26:42,0,0.0,0.0,1,2
37,35,37,144,14,0,27.12,9.72,1.94,188.33,2026-05-24 18:26:42,0,0.0,0.0,3,4
38,88,38,144,14,0,27.12,9.72,1.94,188.33,2026-05-24 18:26:42,0,0.0,0.0,2,1
39,141,39,144,14,0,27.12,9.72,1.94,188.33,2026-05-24 18:26:42,0,0.0,0.0,1,2
40,35,40,116,11,0,33.81,9.48,3.07,291.47,2026-05-24 18:26:42,0,0.0,0.0,3,4
41,88,41,116,11,0,33.81,9.48,3.07,291.47,2026-05-24 18:26:42,0,0.0,0.0,2,1
42,141,42,116,11,0,33.81,9.48,3.07,291.47,2026-05-24 18:26:42,0,0.0,0.0,1,2
